indx,text
10,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2570952000.0, Total Non Current Assets is 1047429000.0, Current Liabilities is 1406830000.0, Total Non Current Liabilities Net Minority Interest is 1173908000.0, Stockholders Equity is 1025764000.0, Market Cap is 106701930496, Industry is Software - Infrastructure, Employees is 9219.0, City is Austin, EBITDA Margins is 0.053319998, Profit Margins is 0.0484, Gross Margins is 0.75372005, Day High is 433.9999,.
"
11,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2292274000.0, Total Non Current Assets is 440259000.0, Current Liabilities is 863553000.0, Total Non Current Liabilities Net Minority Interest is 997106000.0, Stockholders Equity is 870574000.0, Market Cap is 106701930496, Industry is Software - Infrastructure, Employees is 9219.0, City is Austin, EBITDA Margins is 0.053319998, Profit Margins is 0.0484, Gross Margins is 0.75372005, Day High is 433.9999,.
"
12,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3159453000.0, Total Non Current Assets is 2447585000.0, Current Liabilities is 1492198000.0, Total Non Current Liabilities Net Minority Interest is 966041000.0, Stockholders Equity is 3148799000.0, Market Cap is 47967674368, Industry is Apparel Retail, Employees is 38000.0, City is Vancouver, EBITDA Margins is 0.27029, Profit Margins is 0.16343, Gross Margins is 0.58536, Day High is 399.76,.
"
13,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2614853000.0, Total Non Current Assets is 2327625000.0, Current Liabilities is 1405334000.0, Total Non Current Liabilities Net Minority Interest is 797098000.0, Stockholders Equity is 2740046000.0, Market Cap is 47967674368, Industry is Apparel Retail, Employees is 38000.0, City is Vancouver, EBITDA Margins is 0.27029, Profit Margins is 0.16343, Gross Margins is 0.58536, Day High is 399.76,.
"
14,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2124379000.0, Total Non Current Assets is 2060836000.0, Current Liabilities is 883178000.0, Total Non Current Liabilities Net Minority Interest is 743471000.0, Stockholders Equity is 2558566000.0, Market Cap is 47967674368, Industry is Apparel Retail, Employees is 38000.0, City is Vancouver, EBITDA Margins is 0.27029, Profit Margins is 0.16343, Gross Margins is 0.58536, Day High is 399.76,.
"
15,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 10325200000.0, Total Non Current Assets is 8486500000.0, Current Liabilities is 9983200000.0, Total Non Current Liabilities Net Minority Interest is 5117500000.0, Stockholders Equity is 3614600000.0, Market Cap is 9953375232, Industry is Advertising Agencies, Employees is 55100.0, City is New York, EBITDA Margins is 0.18547001, Profit Margins is 0.086540006, Gross Margins is 0.22399999, Day High is 27.2,.
"
16,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 11231800000.0, Total Non Current Assets is 8677400000.0, Current Liabilities is 10890000000.0, Total Non Current Liabilities Net Minority Interest is 5414400000.0, Stockholders Equity is 3526000000.0, Market Cap is 9953375232, Industry is Advertising Agencies, Employees is 55100.0, City is New York, EBITDA Margins is 0.18547001, Profit Margins is 0.086540006, Gross Margins is 0.22399999, Day High is 27.2,.
"
17,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 9367600000.0, Total Non Current Assets is 8675100000.0, Current Liabilities is 9580500000.0, Total Non Current Liabilities Net Minority Interest is 5425200000.0, Stockholders Equity is 2895000000.0, Market Cap is 9953375232, Industry is Advertising Agencies, Employees is 55100.0, City is New York, EBITDA Margins is 0.18547001, Profit Margins is 0.086540006, Gross Margins is 0.22399999, Day High is 27.2,.
"
18,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2620406000.0, Total Non Current Assets is 8328414000.0, Current Liabilities is 3257154000.0, Total Non Current Liabilities Net Minority Interest is 4392122000.0, Stockholders Equity is 3299544000.0, Market Cap is 31870914560, Industry is Confectioners, Employees is 18650.0, City is Hershey, EBITDA Margins is 0.26912, Profit Margins is 0.16166, Gross Margins is 0.44458, Day High is 157.83,.
"
19,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2246206000.0, Total Non Current Assets is 8166025000.0, Current Liabilities is 2493313000.0, Total Non Current Liabilities Net Minority Interest is 5161689000.0, Stockholders Equity is 2757229000.0, Market Cap is 31870914560, Industry is Confectioners, Employees is 18650.0, City is Hershey, EBITDA Margins is 0.26912, Profit Margins is 0.16166, Gross Margins is 0.44458, Day High is 157.83,.
"
20,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2977905000.0, Total Non Current Assets is 6153940000.0, Current Liabilities is 1891745000.0, Total Non Current Liabilities Net Minority Interest is 5002217000.0, Stockholders Equity is 2234352000.0, Market Cap is 31870914560, Industry is Confectioners, Employees is 18650.0, City is Hershey, EBITDA Margins is 0.26912, Profit Margins is 0.16166, Gross Margins is 0.44458, Day High is 157.83,.
"
21,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 17193276000.0, Total Non Current Assets is 20382550000.0, Current Liabilities is 593566000.0, Total Non Current Liabilities Net Minority Interest is 14692147000.0, Stockholders Equity is 21933637000.0, Market Cap is 31213973504, Industry is REIT - Diversified, Employees is 28.0, City is New York, EBITDA Margins is 0.96225, Profit Margins is 0.73902, Gross Margins is 0.99087, Day High is 29.76,.
"
22,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3396251000.0, Total Non Current Assets is 14201122000.0, Current Liabilities is 339839000.0, Total Non Current Liabilities Net Minority Interest is 5070360000.0, Stockholders Equity is 12108268000.0, Market Cap is 31213973504, Industry is REIT - Diversified, Employees is 28.0, City is New York, EBITDA Margins is 0.96225, Profit Margins is 0.73902, Gross Margins is 0.99087, Day High is 29.76,.
"
23,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2964171000.0, Total Non Current Assets is 14099442000.0, Current Liabilities is 332799000.0, Total Non Current Liabilities Net Minority Interest is 7237069000.0, Stockholders Equity is 9415839000.0, Market Cap is 31213973504, Industry is REIT - Diversified, Employees is 28.0, City is New York, EBITDA Margins is 0.96225, Profit Margins is 0.73902, Gross Margins is 0.99087, Day High is 29.76,.
"
24,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 5438600000.0, Total Non Current Assets is 5732700000.0, Current Liabilities is 3799600000.0, Total Non Current Liabilities Net Minority Interest is 3970800000.0, Stockholders Equity is 3377900000.0, Market Cap is 4585226240, Industry is Agricultural Inputs, Employees is 5800.0, City is Philadelphia, EBITDA Margins is 0.16874, Profit Margins is 0.34931, Gross Margins is 0.37427, Day High is 36.84,.
"
25,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 5053800000.0, Total Non Current Assets is 5619300000.0, Current Liabilities is 3520300000.0, Total Non Current Liabilities Net Minority Interest is 4009100000.0, Stockholders Equity is 3124300000.0, Market Cap is 4585226240, Industry is Agricultural Inputs, Employees is 5800.0, City is Philadelphia, EBITDA Margins is 0.16874, Profit Margins is 0.34931, Gross Margins is 0.37427, Day High is 36.84,.
"
26,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 4375600000.0, Total Non Current Assets is 5810800000.0, Current Liabilities is 2829000000.0, Total Non Current Liabilities Net Minority Interest is 4373200000.0, Stockholders Equity is 2961800000.0, Market Cap is 4585226240, Industry is Agricultural Inputs, Employees is 5800.0, City is Philadelphia, EBITDA Margins is 0.16874, Profit Margins is 0.34931, Gross Margins is 0.37427, Day High is 36.84,.
"
27,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 8405000000.0, Total Non Current Assets is 8451000000.0, Current Liabilities is 4378000000.0, Total Non Current Liabilities Net Minority Interest is 5491000000.0, Stockholders Equity is 6987000000.0, Market Cap is 13357953024, Industry is Aerospace & Defense, Employees is 35000.0, City is Providence, EBITDA Margins is 0.11766, Profit Margins is 0.06301, Gross Margins is 0.15907, Day High is 73.635,.
"
28,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 8036000000.0, Total Non Current Assets is 8257000000.0, Current Liabilities is 3670000000.0, Total Non Current Liabilities Net Minority Interest is 5510000000.0, Stockholders Equity is 7113000000.0, Market Cap is 13357953024, Industry is Aerospace & Defense, Employees is 35000.0, City is Providence, EBITDA Margins is 0.11766, Profit Margins is 0.06301, Gross Margins is 0.15907, Day High is 73.635,.
"
29,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 8046000000.0, Total Non Current Assets is 7781000000.0, Current Liabilities is 3136000000.0, Total Non Current Liabilities Net Minority Interest is 5876000000.0, Stockholders Equity is 6815000000.0, Market Cap is 13357953024, Industry is Aerospace & Defense, Employees is 35000.0, City is Providence, EBITDA Margins is 0.11766, Profit Margins is 0.06301, Gross Margins is 0.15907, Day High is 73.635,.
"
30,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 8722000000.0, Total Non Current Assets is 27529000000.0, Current Liabilities is 6499000000.0, Total Non Current Liabilities Net Minority Interest is 11497000000.0, Stockholders Equity is 18133000000.0, Market Cap is 20748300288, Industry is Farm Products, Employees is 138000.0, City is Springdale, EBITDA Margins is 0.05898, Profit Margins is 0.01501, Gross Margins is 0.07417, Day High is 58.59,.
"
31,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 9630000000.0, Total Non Current Assets is 27191000000.0, Current Liabilities is 5313000000.0, Total Non Current Liabilities Net Minority Interest is 11697000000.0, Stockholders Equity is 19702000000.0, Market Cap is 20748300288, Industry is Farm Products, Employees is 138000.0, City is Springdale, EBITDA Margins is 0.05898, Profit Margins is 0.01501, Gross Margins is 0.07417, Day High is 58.59,.
"
32,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 9822000000.0, Total Non Current Assets is 26487000000.0, Current Liabilities is 6325000000.0, Total Non Current Liabilities Net Minority Interest is 12130000000.0, Stockholders Equity is 17723000000.0, Market Cap is 20748300288, Industry is Farm Products, Employees is 138000.0, City is Springdale, EBITDA Margins is 0.05898, Profit Margins is 0.01501, Gross Margins is 0.07417, Day High is 58.59,.
"
33,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 97631000000.0, Total Non Current Assets is 271436000000.0, Current Liabilities is 69045000000.0, Total Non Current Liabilities Net Minority Interest is 97549000000.0, Stockholders Equity is 195049000000.0, Market Cap is 473442091008, Industry is Oil & Gas Integrated, Employees is 62000.0, City is Spring, EBITDA Margins is 0.20807, Profit Margins is 0.09802, Gross Margins is 0.31535, Day High is 110.2269,.
"
34,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 59154000000.0, Total Non Current Assets is 279769000000.0, Current Liabilities is 56643000000.0, Total Non Current Liabilities Net Minority Interest is 106597000000.0, Stockholders Equity is 168577000000.0, Market Cap is 473442091008, Industry is Oil & Gas Integrated, Employees is 62000.0, City is Spring, EBITDA Margins is 0.20807, Profit Margins is 0.09802, Gross Margins is 0.31535, Day High is 110.2269,.
"
35,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 44893000000.0, Total Non Current Assets is 287857000000.0, Current Liabilities is 56363000000.0, Total Non Current Liabilities Net Minority Interest is 112257000000.0, Stockholders Equity is 157150000000.0, Market Cap is 473442091008, Industry is Oil & Gas Integrated, Employees is 62000.0, City is Spring, EBITDA Margins is 0.20807, Profit Margins is 0.09802, Gross Margins is 0.31535, Day High is 110.2269,.
"
36,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 5895099000.0, Total Non Current Assets is 8225333000.0, Current Liabilities is 3070285000.0, Total Non Current Liabilities Net Minority Interest is 3032233000.0, Stockholders Equity is 8011509000.0, Market Cap is 7260527616, Industry is Furnishings, Fixtures & Appliances, Employees is 43300.0, City is Calhoun, EBITDA Margins is 0.14331001, Profit Margins is 0.052160002, Gross Margins is 0.25636998, Day High is 117.08,.
"
37,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 5238357000.0, Total Non Current Assets is 8986160000.0, Current Liabilities is 2946355000.0, Total Non Current Liabilities Net Minority Interest is 2849946000.0, Stockholders Equity is 8421425000.0, Market Cap is 7260527616, Industry is Furnishings, Fixtures & Appliances, Employees is 43300.0, City is Calhoun, EBITDA Margins is 0.14331001, Profit Margins is 0.052160002, Gross Margins is 0.25636998, Day High is 117.08,.
"
38,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 5363654000.0, Total Non Current Assets is 8964097000.0, Current Liabilities is 2371248000.0, Total Non Current Liabilities Net Minority Interest is 3415345000.0, Stockholders Equity is 8534316000.0, Market Cap is 7260527616, Industry is Furnishings, Fixtures & Appliances, Employees is 43300.0, City is Calhoun, EBITDA Margins is 0.14331001, Profit Margins is 0.052160002, Gross Margins is 0.25636998, Day High is 117.08,.
"
39,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 7643000000.0, Total Non Current Assets is 30720000000.0, Current Liabilities is 6491000000.0, Total Non Current Liabilities Net Minority Interest is 27368000000.0, Stockholders Equity is 2437000000.0, Market Cap is 7124490752, Industry is Utilities - Diversified, Employees is 9600.0, City is Arlington, EBITDA Margins is 0.27141002, Profit Margins is 0.08344, Gross Margins is 0.19440001, Day High is 10.16,.
"
40,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 5356000000.0, Total Non Current Assets is 27607000000.0, Current Liabilities is 4732000000.0, Total Non Current Liabilities Net Minority Interest is 23664000000.0, Stockholders Equity is 2798000000.0, Market Cap is 7124490752, Industry is Utilities - Diversified, Employees is 9600.0, City is Arlington, EBITDA Margins is 0.27141002, Profit Margins is 0.08344, Gross Margins is 0.19440001, Day High is 10.16,.
"
41,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 5414000000.0, Total Non Current Assets is 29189000000.0, Current Liabilities is 5362000000.0, Total Non Current Liabilities Net Minority Interest is 24521000000.0, Stockholders Equity is 2634000000.0, Market Cap is 7124490752, Industry is Utilities - Diversified, Employees is 9600.0, City is Arlington, EBITDA Margins is 0.27141002, Profit Margins is 0.08344, Gross Margins is 0.19440001, Day High is 10.16,.
"
42,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 6779426000.0, Total Non Current Assets is 9206452000.0, Current Liabilities is 8511856000.0, Total Non Current Liabilities Net Minority Interest is 11823916000.0, Stockholders Equity is -4349894000.0, Market Cap is 57472491520, Industry is Specialty Retail, Employees is 75600.0, City is Memphis, EBITDA Margins is 0.23462999, Profit Margins is 0.14399, Gross Margins is 0.53093, Day High is 3441.26,.
"
43,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 6627984000.0, Total Non Current Assets is 8647059000.0, Current Liabilities is 8588393000.0, Total Non Current Liabilities Net Minority Interest is 10225563000.0, Stockholders Equity is -3538913000.0, Market Cap is 57472491520, Industry is Specialty Retail, Employees is 75600.0, City is Memphis, EBITDA Margins is 0.23462999, Profit Margins is 0.14399, Gross Margins is 0.53093, Day High is 3441.26,.
"
44,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 6415303000.0, Total Non Current Assets is 8100896000.0, Current Liabilities is 7369754000.0, Total Non Current Liabilities Net Minority Interest is 8943981000.0, Stockholders Equity is -1797536000.0, Market Cap is 57472491520, Industry is Specialty Retail, Employees is 75600.0, City is Memphis, EBITDA Margins is 0.23462999, Profit Margins is 0.14399, Gross Margins is 0.53093, Day High is 3441.26,.
"
45,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 5185900000.0, Total Non Current Assets is 3216600000.0, Current Liabilities is 372700000.0, Total Non Current Liabilities Net Minority Interest is 1159800000.0, Stockholders Equity is 6870000000.0, Market Cap is 30308343808, Industry is Real Estate Services, Employees is 6450.0, City is Washington, EBITDA Margins is 0.06386, Profit Margins is 0.06577, Gross Margins is 0.79231, Day High is 74.53,.
"
46,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3988125000.0, Total Non Current Assets is 3268746000.0, Current Liabilities is 338689000.0, Total Non Current Liabilities Net Minority Interest is 1206510000.0, Stockholders Equity is 5711672000.0, Market Cap is 30308343808, Industry is Real Estate Services, Employees is 6450.0, City is Washington, EBITDA Margins is 0.06386, Profit Margins is 0.06577, Gross Margins is 0.79231, Day High is 74.53,.
"
47,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3888512000.0, Total Non Current Assets is 3026908000.0, Current Liabilities is 330850000.0, Total Non Current Liabilities Net Minority Interest is 1209211000.0, Stockholders Equity is 5375359000.0, Market Cap is 30308343808, Industry is Real Estate Services, Employees is 6450.0, City is Washington, EBITDA Margins is 0.06386, Profit Margins is 0.06577, Gross Margins is 0.79231, Day High is 74.53,.
"
48,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 4625000000.0, Total Non Current Assets is 15529400000.0, Current Liabilities is 3078500000.0, Total Non Current Liabilities Net Minority Interest is 6961100000.0, Stockholders Equity is 10096600000.0, Market Cap is 20199479296, Industry is Diagnostics & Research, Employees is 67000.0, City is Burlington, EBITDA Margins is 0.13164, Profit Margins is 0.03426, Gross Margins is 0.27921, Day High is 244.75,.
"
49,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 5330500000.0, Total Non Current Assets is 15055800000.0, Current Liabilities is 2782900000.0, Total Non Current Liabilities Net Minority Interest is 7308500000.0, Stockholders Equity is 10273400000.0, Market Cap is 20199479296, Industry is Diagnostics & Research, Employees is 67000.0, City is Burlington, EBITDA Margins is 0.13164, Profit Margins is 0.03426, Gross Margins is 0.27921, Day High is 244.75,.
"
50,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 5125400000.0, Total Non Current Assets is 14946300000.0, Current Liabilities is 3078500000.0, Total Non Current Liabilities Net Minority Interest is 7535900000.0, Stockholders Equity is 9436600000.0, Market Cap is 20199479296, Industry is Diagnostics & Research, Employees is 67000.0, City is Burlington, EBITDA Margins is 0.13164, Profit Margins is 0.03426, Gross Margins is 0.27921, Day High is 244.75,.
"
51,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2528058000.0, Total Non Current Assets is 9903062000.0, Current Liabilities is 1564202000.0, Total Non Current Liabilities Net Minority Interest is 3390406000.0, Stockholders Equity is 7476512000.0, Market Cap is 42469306368, Industry is Specialty Industrial Machinery, Employees is 21500.0, City is Berwyn, EBITDA Margins is 0.30944002, Profit Margins is 0.19271, Gross Margins is 0.35406, Day High is 183.94,.
"
52,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2128765000.0, Total Non Current Assets is 9769422000.0, Current Liabilities is 1563314000.0, Total Non Current Liabilities Net Minority Interest is 3462989000.0, Stockholders Equity is 6871884000.0, Market Cap is 42469306368, Industry is Specialty Industrial Machinery, Employees is 21500.0, City is Berwyn, EBITDA Margins is 0.30944002, Profit Margins is 0.19271, Gross Margins is 0.35406, Day High is 183.94,.
"
53,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2522470000.0, Total Non Current Assets is 7835013000.0, Current Liabilities is 1075915000.0, Total Non Current Liabilities Net Minority Interest is 3332222000.0, Stockholders Equity is 5949346000.0, Market Cap is 42469306368, Industry is Specialty Industrial Machinery, Employees is 21500.0, City is Berwyn, EBITDA Margins is 0.30944002, Profit Margins is 0.19271, Gross Margins is 0.35406, Day High is 183.94,.
"
54,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 14730000000.0, Total Non Current Assets is 4694000000.0, Current Liabilities is 12695000000.0, Total Non Current Liabilities Net Minority Interest is 3862000000.0, Stockholders Equity is 2866000000.0, Market Cap is 18348208128, Industry is Electronic Components, Employees is 138000.0, City is Saint Petersburg, EBITDA Margins is 0.074200004, Profit Margins is 0.048060004, Gross Margins is 0.092650004, Day High is 167.51,.
"
55,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 13908000000.0, Total Non Current Assets is 5809000000.0, Current Liabilities is 13697000000.0, Total Non Current Liabilities Net Minority Interest is 3568000000.0, Stockholders Equity is 2451000000.0, Market Cap is 18348208128, Industry is Electronic Components, Employees is 138000.0, City is Saint Petersburg, EBITDA Margins is 0.074200004, Profit Margins is 0.048060004, Gross Margins is 0.092650004, Day High is 167.51,.
"
56,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 10877000000.0, Total Non Current Assets is 5777000000.0, Current Liabilities is 10683000000.0, Total Non Current Liabilities Net Minority Interest is 3834000000.0, Stockholders Equity is 2136000000.0, Market Cap is 18348208128, Industry is Electronic Components, Employees is 138000.0, City is Saint Petersburg, EBITDA Margins is 0.074200004, Profit Margins is 0.048060004, Gross Margins is 0.092650004, Day High is 167.51,.
"
57,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 9290000000.0, Total Non Current Assets is 11560000000.0, Current Liabilities is 4271000000.0, Total Non Current Liabilities Net Minority Interest is 11426000000.0, Stockholders Equity is 5153000000.0, Market Cap is 32533680128, Industry is Internet Retail, Employees is 12300.0, City is San Jose, EBITDA Margins is 0.25511, Profit Margins is 0.19677, Gross Margins is 0.72024, Day High is 68.095,.
"
58,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 9111000000.0, Total Non Current Assets is 17515000000.0, Current Liabilities is 4622000000.0, Total Non Current Liabilities Net Minority Interest is 12226000000.0, Stockholders Equity is 9778000000.0, Market Cap is 32533680128, Industry is Internet Retail, Employees is 12300.0, City is San Jose, EBITDA Margins is 0.25511, Profit Margins is 0.19677, Gross Margins is 0.72024, Day High is 68.095,.
"
